ID,NAtoms,Ne,Homo-4,Homo-3,Homo-2,Homo-1,Homo,Lumo,Lumo+1,Lumo+2,Lumo+3,Lumo+4,CIe,HF,ET,EV,EJ,EK,ENuc,Dipole,Factor
AC18765,17,64,-0.49132,-0.47266,-0.43394,-0.36571,-0.30808,0.03478,0.04904,0.0504,0.0634,0.0665,-1.626194,-667.6292977893,10.423827234375,-36.403886921875,10.6604699375,-0.98106021875,5.868942171875,3.0544,2
AC18766,17,64,-0.50262,-0.49095,-0.44059,-0.34537,-0.27711,0.02938,0.04509,0.05427,0.05814,0.07126,-1.6344769,-667.5203114598,10.4209120625,-36.3353770625,10.6182415,-0.98033003125,5.846548671875,4.9785,2
AC18767,15,62,-0.49809,-0.4662,-0.43622,-0.36304,-0.3399,0.03023,0.04689,0.05467,0.05696,0.06425,-1.5863859,-666.3664356617,10.739999532258064,-36.67831887096774,10.552331370967742,-1.0000183225806452,5.638160564516129,3.904,2
AC18768,15,64,-0.51365,-0.49325,-0.43212,-0.38726,-0.3166,0.03341,0.04391,0.05703,0.05956,0.0704,-1.6788999,-703.4460115275,10.981850859375,-37.798853625,10.9543654375,-1.017358421875,5.888651828125,3.4282,2
AC18769,15,64,-0.50689,-0.4964,-0.42101,-0.38316,-0.35694,0.02649,0.04396,0.05246,0.06059,0.07028,-1.6814558,-703.4197866432,10.980401890625,-37.953220578125,11.02663559375,-1.01765025,5.972899171875,6.0112,2
AC18770,16,64,-0.49449,-0.4736,-0.39835,-0.37391,-0.30876,0.03755,0.04604,0.05355,0.06202,0.07168,-1.6569011,-683.6210412832,10.6728623125,-37.021789359375,10.788926734375,-0.997765484375,5.87618703125,1.7308,2
AC18771,14,64,-0.51889,-0.496,-0.46564,-0.36789,-0.35775,0.02742,0.04618,0.05889,0.06103,0.06728,-1.684644,-727.4444041682,11.357053921875,-38.731965859375,11.15640534375,-1.04048821875,5.892676,5.011,2
AC18775,12,54,-0.52278,-0.47529,-0.43911,-0.36826,-0.30152,0.03109,0.04802,0.05656,0.06817,0.08073,-1.3791917,-627.3990255088,11.60998611111111,-37.53823192592592,10.329524222222222,-1.0392449444444445,5.019466055555556,2.9984,2
AC18776,15,62,-0.49519,-0.45185,-0.41594,-0.34532,-0.29927,0.03077,0.04897,0.05126,0.06408,0.07361,-1.5865783,-666.4422220549,10.740614629032258,-36.856321,10.648184129032256,-1.0005100483870968,5.718964193548387,3.421,2
AC18779,13,62,-0.52392,-0.44644,-0.43322,-0.35656,-0.31622,0.02839,0.04544,0.05453,0.06645,0.07825,-1.6384037,-702.2608152308,11.316602112903226,-38.30288098387096,10.954755532258064,-1.0379649677419354,5.742700951612903,3.7489,2
AC18780,13,62,-0.52665,-0.45414,-0.4182,-0.38259,-0.32443,0.02211,0.04373,0.05569,0.06919,0.07836,-1.6428585,-702.2292872651,11.315088677419354,-38.45091332258065,11.023093322580644,-1.038292129032258,5.824744629032258,6.254,2
AC18781,14,62,-0.4978,-0.43267,-0.38864,-0.35197,-0.30061,0.03224,0.04883,0.05022,0.06662,0.07319,-1.6170961,-682.4318379465,10.997630838709677,-37.54733919354839,10.807459580645162,-1.0177119032258064,5.752995548387097,2.5766,2
AC18782,12,62,-0.53225,-0.47693,-0.45032,-0.36856,-0.32329,0.02402,0.04607,0.05882,0.06683,0.07536,-1.6447291,-726.2566537238,11.703894241935483,-39.23283298387097,11.14648672580645,-1.0618714838709675,5.7305065,5.0034,2
AC18783,14,70,-0.48485,-0.41006,-0.37841,-0.36292,-0.30773,0.03361,0.04801,0.05122,0.06495,0.07015,-1.7083308,-968.7321721713,13.831538814285716,-44.81931951428572,12.286087414285712,-1.1304309,5.993093157142857,2.8374,2
AC18784,13,70,-0.48344,-0.41854,-0.37097,-0.36177,-0.31384,0.02855,0.04673,0.05382,0.06276,0.0713,-1.7223002,-1024.9439334065,14.634150642857142,-46.68816444285714,12.596621785714284,-1.1593988285714285,5.974734657142857,3.6536,2
AC18785,12,70,-0.48447,-0.43644,-0.43223,-0.35959,-0.32143,0.02443,0.04632,0.04871,0.05826,0.07282,-1.6601676,-1086.319770027,15.51148037142857,-48.66589758571428,12.906055971428572,-1.1902298285714286,5.919737228571428,4.8396,2
AC18786,10,52,-0.50766,-0.44752,-0.39678,-0.37147,-0.32362,0.03184,0.04807,0.05523,0.07155,0.08093,-1.340815,-626.1872499014,12.032234365384616,-37.98541065384615,10.235801423076923,-1.0645125,4.739824865384615,2.6377,2
AC18787,13,60,-0.47396,-0.44292,-0.39193,-0.36083,-0.30661,0.03272,0.0435,0.05344,0.06847,0.07382,-1.5490099,-665.2309927309,11.0777172,-37.16526918333333,10.54875145,-1.0211551666666667,5.472772483333333,2.5451,2
AC18788,13,60,-0.46174,-0.45446,-0.39713,-0.33677,-0.28532,0.02922,0.04459,0.05272,0.0641,0.06961,-1.5585509,-665.1215096789,11.074242966666668,-36.96901123333334,10.44275975,-1.0201002833333337,5.386750316666666,3.3463,2
AC18789,11,58,-0.47911,-0.42091,-0.40476,-0.36284,-0.33319,0.02649,0.04292,0.0584,0.06521,0.07455,-1.5116403,-663.9667875457,11.43802594827586,-37.56943262068965,10.472579241379307,-1.0427095689655173,5.253833775862069,4.2321,2
AC18790,11,60,-0.47293,-0.46298,-0.40006,-0.36986,-0.32103,0.02564,0.04346,0.05761,0.07151,0.08033,-1.6024961,-701.048936322,11.673000816666669,-38.80058375,10.9351277,-1.0599113,5.568217583333333,4.536,2
AC18791,11,60,-0.46926,-0.44483,-0.41465,-0.37786,-0.34895,0.02448,0.04447,0.05111,0.06524,0.07555,-1.6049637,-701.02145212,11.6711513,-38.7081815,10.883281,-1.06011535,5.5301736833333335,5.4212,2
AC18792,12,60,-0.45378,-0.40872,-0.38304,-0.35987,-0.31371,0.03286,0.04568,0.05228,0.06912,0.07928,-1.5791122,-681.2215029083,11.34328585,-37.863951883333336,10.705774116666667,-1.0389732833333334,5.5001735,1.9723,2
AC18793,10,60,-0.51761,-0.46669,-0.40397,-0.3761,-0.34537,0.02465,0.04726,0.05756,0.06684,0.07483,-1.6073192,-725.0483054406,12.073068483333332,-39.53574728333333,11.020267233333334,-1.0845412833333334,5.442814433333334,4.5275,2
AC18794,12,68,-0.44785,-0.41364,-0.38112,-0.37019,-0.32704,0.03782,0.04649,0.05308,0.06585,0.07219,-1.6698018,-967.5297818158,14.21992819117647,-45.16188682352941,12.161550117647058,-1.1525078088235294,5.704537176470588,0.8525,2
AC18795,11,68,-0.4418,-0.40535,-0.38081,-0.36057,-0.32552,0.02683,0.0441,0.05369,0.06499,0.07564,-1.6855826,-1023.7308365637,15.046174352941176,-47.26590426470588,12.574180308823529,-1.1822988088235296,5.7729831617647065,4.2815,2
AC18796,10,68,-0.45569,-0.44539,-0.40148,-0.3631,-0.33872,0.02397,0.04356,0.04541,0.06239,0.07617,-1.6223834,-1085.1068755076,15.949241955882355,-49.21620301470588,12.849862102941175,-1.21403225,5.673677161764706,4.8576,2
AC18797,12,56,-0.52584,-0.46542,-0.4595,-0.40226,-0.31275,0.03307,0.04272,0.05856,0.07071,0.07695,-1.4677807,-664.4217656688,11.855629928571428,-38.548752625000006,10.674160303571428,-1.0574028214285711,5.211690821428571,3.7462,2
AC18798,15,64,-0.50138,-0.45298,-0.43513,-0.34382,-0.33094,0.03337,0.04465,0.05371,0.06675,0.07243,-1.6742261,-703.4641330938,10.9826250625,-37.81067134375,10.964656421875,-1.0175573125,5.88932009375,3.173,2
AC18799,15,64,-0.52607,-0.46722,-0.43169,-0.35649,-0.27235,0.02805,0.03817,0.05343,0.06254,0.07527,-1.6833495,-703.3517362648,10.979594203125,-37.765337953125,10.933577890625,-1.01672878125,5.87902378125,5.9906,2
AC18800,13,62,-0.47464,-0.45564,-0.4451,-0.35594,-0.34329,0.02859,0.04026,0.05867,0.06419,0.07192,-1.6361163,-702.2001813619,11.316783612903226,-38.192003467741934,10.8964735,-1.037772758064516,5.690709725806451,4.9114,2
AC18801,13,64,-0.53555,-0.47734,-0.43532,-0.36715,-0.33506,0.02869,0.03915,0.05688,0.06613,0.08056,-1.7278073,-739.2839879656,11.54080909375,-39.343271828125,11.32656215625,-1.053939953125,5.97852821875,5.5927,2
AC18802,13,64,-0.51131,-0.45997,-0.42659,-0.39459,-0.36496,0.02756,0.04272,0.05097,0.06322,0.0743,-1.7296772,-739.2538700688,11.539158265625,-39.27753240625,11.287736328125,-1.054188015625,5.953984109375,5.545,2
AC18803,14,64,-0.5031,-0.4499,-0.38341,-0.36611,-0.32499,0.03512,0.04556,0.05399,0.06785,0.07329,-1.7053854,-719.4525391351,11.23166390625,-38.4797746875,11.11870184375,-1.034242671875,5.9222056875,2.2355,2
AC18804,12,64,-0.52435,-0.48406,-0.47243,-0.37654,-0.35503,0.03218,0.0409,0.06401,0.06737,0.0749,-1.7329795,-763.2805455526,11.91597534375,-40.0304986875,11.40506615625,-1.07712390625,5.8603225625,4.2602,2
AC18808,10,54,-0.54876,-0.48426,-0.43894,-0.43502,-0.32641,0.02271,0.0465,0.06887,0.07801,0.079,-1.428229,-663.2632668927,12.27301922222222,-39.212310296296295,10.686831981481484,-1.0827235925925924,5.052529611111111,5.3051,2
AC18809,13,62,-0.51464,-0.46381,-0.42561,-0.38958,-0.3255,0.02343,0.04897,0.05215,0.07174,0.07871,-1.6338748,-702.3043664827,11.317951951612905,-38.27226383870968,10.938324741935483,-1.0383614032258064,5.726858774193548,5.0868,2
AC18810,13,62,-0.5324,-0.45266,-0.44647,-0.37747,-0.2847,0.01871,0.04215,0.06139,0.06914,0.0727,-1.6435048,-702.1923954458,11.314669822580646,-38.18099206451613,10.88512079032258,-1.0373649677419354,5.692882629032258,6.7824,2
AC18812,11,62,-0.54251,-0.47077,-0.43027,-0.41737,-0.33855,0.01737,0.04176,0.06206,0.07283,0.07791,-1.6873745,-738.1210467472,11.894015274193547,-39.82429070967742,11.29602562903226,-1.0758445645161292,5.804916193548388,7.2696,2
AC18813,11,62,-0.53918,-0.46628,-0.42439,-0.40056,-0.38004,0.01545,0.03996,0.06177,0.06609,0.07356,-1.6901679,-738.0905594607,11.892325661290323,-39.879056790322586,11.31885029032258,-1.0760573870967742,5.839251790322581,7.2395,2
AC18814,12,62,-0.51882,-0.43559,-0.39503,-0.39281,-0.33595,0.02399,0.04977,0.05274,0.07932,0.08025,-1.6642044,-718.2952536967,11.574971451612903,-38.98477082258065,11.108387387096776,-1.0555901774193548,5.7715948548387095,4.8449,2
AC18815,10,62,-0.54583,-0.50699,-0.43701,-0.40169,-0.37343,0.01434,0.04241,0.05309,0.07075,0.07487,-1.6916489,-762.1157765523,12.281119112903228,-40.65208979032258,11.43757785483871,-1.0996667258064516,5.740869612903226,7.658,2
